;Manchete;Link
206;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
207;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
208;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
209;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
210;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
211;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
212;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
213;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
214;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
215;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
216;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
217;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
218;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
219;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
220;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
221;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
222;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
223;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
224;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
225;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
226;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
227;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
228;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
229;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
230;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
231;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
232;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
233;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
234;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
235;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
236;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
237;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
238;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
239;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
240;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
241;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
242;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
243;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
244;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
245;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
246;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
247;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
248;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
249;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
250;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
251;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
252;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
253;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
254;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
255;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
256;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
257;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
258;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
259;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
260;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
261;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
262;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
263;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
264;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
265;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
266;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
267;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
268;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
269;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
270;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
271;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
272;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
273;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
274;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
275;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
276;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
277;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
278;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
279;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
280;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
281;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
282;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
283;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
284;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
285;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
286;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
287;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
288;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
289;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
290;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
291;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
292;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
293;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
294;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
295;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
296;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
297;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
298;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
299;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
300;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
301;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
302;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
303;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
304;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
305;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
306;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
307;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
308;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
309;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
310;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
311;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
312;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
313;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
314;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
315;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
316;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
317;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
318;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
319;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
320;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
321;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
322;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
323;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
324;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
325;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
326;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
327;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
328;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
329;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
330;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
331;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
332;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
333;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
334;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
335;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
336;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
337;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
338;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
339;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
340;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
341;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
342;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
343;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
344;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
345;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
346;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
347;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
348;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
349;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
350;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
351;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
352;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
353;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
354;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
355;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
356;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
357;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
358;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
359;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
360;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
361;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
362;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
363;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
364;Como 13º salário surgiu de greve geral após vitória do Brasil na Copa de 1962;https:https://www.bbc.com/portuguese/articles/c2ln4p18r2ro
365;Por que 'inflação da picanha' preocupa cada vez mais brasileiros (e Lula);https:https://www.bbc.com/portuguese/articles/c4gzvl20e97o
366;Como calcular o 13° salário? Essa e outras perguntas sobre o pagamento;https:https://www.bbc.com/portuguese/articles/cwy193lz3wdo
367;Black Friday: por que compramos compulsivamente;https:https://www.bbc.com/portuguese/articles/c4gpj9yqr2po
368;Por que Carrefour boicotou carne brasileira e depois pediu desculpas: entenda a polêmica;https:https://www.bbc.com/portuguese/articles/ced97dz6gq4o
369;Black Friday: como os robôs passam a perna em você na disputa por pechinchas;https:https://www.bbc.com/portuguese/articles/ced97pvj35po
370;China dentro, EUA fora? Como será futuro das negociações climáticas com novo governo Trump;https:https://www.bbc.com/portuguese/articles/c5yrmepkkemo
371;A mineração controlada por gangues na África do Sul: 'A vida debaixo da terra é cruel';https:https://www.bbc.com/portuguese/articles/c80l4dkz4xmo
372;Por dentro do mercado ilegal de aranhas que movimenta milhões no Brasil: 'Febre na classe média';https:https://www.bbc.com/portuguese/articles/c1e7y1wp9q2o
373;Como Las Vegas, a 'cidade do pecado', virou um dos lugares mais verdes dos EUA;https:https://www.bbc.com/portuguese/articles/c1lgy2n1g1zo
374;Parmesão com microchip: por que queijo gourmet é alvo de criminosos no mercado clandestino;https:https://www.bbc.com/portuguese/articles/cew2qx0n5k5o
375;'O milagre alemão terminou, e Europa sofrerá as consequências';https:https://www.bbc.com/portuguese/articles/c3wq292z3w5o
376;Quem pode se beneficiar da decisão da Espanha de regularizar situação de 900 mil imigrantes ilegais;https:https://www.bbc.com/portuguese/articles/c80l29epklko
377;Por que Brasil resiste a entrar em Nova Rota da Seda da China;https:https://www.bbc.com/portuguese/articles/cz7w2evgz5ro
378;O acordo Brasil-China que pode colocar domínio da Starlink de Elon Musk em xeque;https:https://www.bbc.com/portuguese/articles/c5yr9vgplxvo
379;5 assuntos para ficar de olho no encontro do G20 no Rio;https:https://www.bbc.com/portuguese/articles/c9qlpw73v32o
380;'G20 precisa discutir medidas para jornadas de trabalho mais equilibradas', defende Lula em meio a debate da escala 6x1;https:https://www.bbc.com/portuguese/articles/cev9703zj8go
381;Como Milei virou 'pedra no sapato' de Lula no G20?;https:https://www.bbc.com/portuguese/articles/cpvz8k2m43go
382;O megaporto recém-inaugurado pela China no Peru (e seu impacto para o Brasil);https:https://www.bbc.com/portuguese/articles/ceqxzvv93dro
383;As experiências de outros países com jornada de trabalho reduzida;https:https://www.bbc.com/portuguese/articles/c3rx779wr37o
384;Como os bancos que seguem a lei islâmica ganham dinheiro;https:https://www.bbc.com/portuguese/articles/c4g2e25jrgno
385;Como Grécia e Espanha superaram crise econômica e agora puxam crescimento da União Europeia;https:https://www.bbc.com/portuguese/articles/c62zgp62r26o
386;Os números por trás do 'milagre econômico' da ditadura no Brasil;https:https://www.bbc.com/portuguese/articles/c17d57rqeexo
387;Como a alta dos juros impacta o seu bolso;https:https://www.bbc.com/portuguese/articles/c9wl8ynrkz8o
388;4 grandes mudanças que Javier Milei promoveu na Argentina em seu primeiro ano como presidente;https:https://www.bbc.com/portuguese/articles/cwy3epjvzylo
389;Por que preço do café é o maior da história;https:https://www.bbc.com/portuguese/articles/cp83lzlgwr5o
390;A crescente demanda por cuidadores de idosos em um Brasil cada vez mais velho: 'Fui trocar lâmpada e fiquei';https:https://www.bbc.com/portuguese/articles/ckg0l28v8d3o
391;Vídeo,Um ano de Milei na Argentina: como o libertário mudou a economia do país até agora, Duration 7,02;https:https://www.bbc.com/portuguese/articles/cvg69ypkdvlo
392;Vídeo,Como acordo Mercosul-União Europeia pode impactar Brasil e quais serão próximos passos, Duration 9,06;https:https://www.bbc.com/portuguese/articles/c4gj3lll5kyo
393;A brasileira na lista de mulheres mais influentes do mundo de jornal britânico;https:https://www.bbc.com/portuguese/articles/c75wl29zn7qo
394;Brasil pode virar alvo de 'tarifaço' de Trump por estar nos Brics?;https:https://www.bbc.com/portuguese/articles/ce8eyrygej8o
395;A crise de dólares 'à la Argentina' que leva a disparada de preços na Bolívia;https:https://www.bbc.com/portuguese/articles/cy0l1jp22eko
396;Chefe da UE vai ao Uruguai em apoio a acordo com Mercosul apesar de oposição de Macron;https:https://www.bbc.com/portuguese/articles/cr7v5752797o
397;Bitcoin alcança valor recorde de US$ 100 mil: 7 momentos que definem a criptomoeda;https:https://www.bbc.com/portuguese/articles/c4gp7dgl9dxo
398;Isenção no IR para renda até R$ 5 mil e mudanças para militares: confira as medidas econômicas anunciadas por Haddad;https:https://www.bbc.com/portuguese/articles/c36p9lp09r4o
399;As medidas do pacote econômico de Haddad 'para economizar R$ 327 bi';https:https://www.bbc.com/portuguese/articles/c14l3n2gp2jo
400;O que está por trás da profunda crise na Volkswagen;https:https://www.bbc.com/portuguese/articles/clyv78lm3g4o
401;Dólar a R$ 6 é o novo normal? Os fatores que explicam a alta da moeda;https:https://www.bbc.com/portuguese/articles/c2e783983yeo
402;PIB: Brasil cresce tanto quanto a China no 3° trimestre e só fica atrás de Indonésia e México no G20;https:https://www.bbc.com/portuguese/articles/cvgm4r89dpyo
403;Vídeo,Haddad anuncia pacote: o que pode mudar no IR, na pensão dos militares e no salário mínimo, Duration 7,59;https:https://www.bbc.com/portuguese/articles/cevgj7xyre7o
404;Como táxis-robôs estão tentando conquistar a confiança dos passageiros;https:https://www.bbc.com/portuguese/articles/cdd0l1rv28qo
405;O que aconteceu quando cidade começou a acolher (em vez de despejar) acampamentos de sem-teto;https:https://www.bbc.com/portuguese/articles/crk4g221v2jo
406;'Isenção de IR até R$ 5 mil é medida eleitoreira de Lula', afirma economista Samuel Pessôa;https:https://www.bbc.com/portuguese/articles/cvg42zglnrlo
407;Como políticos, setores da economia e o dólar reagiram aos anúncios de Haddad;https:https://www.bbc.com/portuguese/articles/c4g2n3knnzxo
408;Como você será afetado pelas mudanças propostas no Imposto de Renda;https:https://www.bbc.com/portuguese/articles/c14l3050rmlo
409;Como militares serão afetados por corte de gastos proposto pelo governo;https:https://www.bbc.com/portuguese/articles/c2450jmzzv9o
410;Black Friday: como inteligência artificial está sendo usada para dar golpes em consumidores;https:https://www.bbc.com/portuguese/articles/cpvzgdgr2rmo
411;'Estou ansioso o mês inteiro com a Black Friday': como avalanche de ofertas afeta viciados em compras;https:https://www.bbc.com/portuguese/articles/cxe1p3zp4ymo
